site,common.name,alt.common,latin
both,jackrabbit,"jackrabbit, rabbit",Lepus californicus
both,blunt-nosed leopard lizard ,lizard,Gambelia sila
both,California kangroo rat ,"rat, kangroo rat",Dipodomys californicus
both,desert cottontail ,"cottontail, rabbit",Sylvilagus audubonii
both,kit fox,"kit fox, fox",Vulpes macrotis
both,bob cat,cat,Lynx rufus
Mojave,Mohave ground squirrel ,"squirrel, chipmunk ",Xerospermophilus mohavensis
Mojave,California thrasher ,bird,Toxostoma redivivum
Carrizo,San Joaquin antelope squirrels ,"squirrel, chipmunk ",Ammospermophilus nelsoni
