site,microsite,week,rep,animal,captures,n,rate
Carrizo,open,1,9,squirrel,2,2,1
Carrizo,open,1,9,unknown,1,1,1
Carrizo,open,1,10,kangaroo rat,24,24,1
Carrizo,open,1,10,none,0,83,0
Carrizo,open,1,10,rabbit,3,3,1
Carrizo,open,2,1,kangaroo rat,14,14,1
Carrizo,open,2,1,kit fox,1,1,1
Carrizo,open,2,1,none,0,114,0
Carrizo,open,2,1,rabbit,3,3,1
Carrizo,open,2,1,squirrel,2,2,1
Carrizo,open,2,2,kangaroo rat,5,5,1
Carrizo,open,2,2,none,0,3975,0
Carrizo,open,2,2,rabbit,1,1,1
Carrizo,open,2,2,squirrel,2,2,1
Carrizo,open,2,3,none,0,2500,0
Carrizo,open,2,4,kangaroo rat,13,13,1
Carrizo,open,2,4,none,0,59,0
Carrizo,open,2,4,rabbit,2,2,1
Carrizo,open,2,4,rat,1,1,1
Carrizo,open,2,5,kangaroo rat,3,3,1
Carrizo,open,2,5,none,0,80,0
Carrizo,open,2,5,squirrel,1,1,1
Carrizo,open,2,5,unknown,1,1,1
Carrizo,open,2,6,kangaroo rat,8,8,1
Carrizo,open,2,6,kit fox,5,5,1
Carrizo,open,2,6,mammal,1,1,1
Carrizo,open,2,6,none,0,60,0
Carrizo,open,2,6,rabbit,1,1,1
Carrizo,open,2,7,kangaroo rat,24,24,1
Carrizo,open,2,7,none,0,1062,0
Carrizo,open,2,7,squirrel,1,1,1
Carrizo,open,2,8,none,0,872,0
Carrizo,open,2,9,kangaroo rat,104,104,1
Carrizo,open,2,9,none,0,6741,0
Carrizo,open,2,9,squirrel,1,1,1
Carrizo,open,2,10,bird,1,1,1
Carrizo,open,2,10,none,0,60,0
Carrizo,open,2,10,rabbit,12,12,1
Carrizo,open,3,2,kangaroo rat,5,5,1
Carrizo,open,3,2,none,0,846,0
Carrizo,open,3,2,rabbit,26,26,1
Carrizo,open,3,3,none,0,14810,0
Carrizo,open,3,4,kangaroo rat,1,1,1
Carrizo,open,3,4,none,0,2655,0
Carrizo,open,3,4,rabbit,1,1,1
Carrizo,open,3,5,none,0,20,0
Carrizo,open,3,6,kit fox,2,2,1
Carrizo,open,3,6,none,0,520,0
Carrizo,open,3,7,none,0,6001,0
Carrizo,open,3,7,rabbit,2,2,1
Carrizo,open,3,8,kangaroo rat,81,81,1
Carrizo,open,3,8,none,0,592,0
Carrizo,open,3,8,rabbit,10,10,1
Carrizo,open,3,8,squirrel,9,9,1
Carrizo,open,3,9,none,0,6,0
Carrizo,open,3,10,none,0,425,0
Carrizo,open,3,10,rabbit,1,1,1
Carrizo,open,3,NA,none,0,39707,0
Mojave,buckhorn,1,1,cottontail,18,18,1
Mojave,buckhorn,1,1,ground squirrel,1,1,1
Mojave,buckhorn,1,1,none,0,50,0
Mojave,buckhorn,1,2,bird,1,1,1
Mojave,buckhorn,1,2,cottontail,3,3,1
Mojave,buckhorn,1,2,kit fox,1,1,1
Mojave,buckhorn,1,2,none,0,38,0
Mojave,buckhorn,1,3,bird,1,1,1
Mojave,buckhorn,1,3,cottontail,60,60,1
Mojave,buckhorn,1,3,ground squirrel,12,12,1
Mojave,buckhorn,1,3,none,1,98,0.01020408163265306
Mojave,buckhorn,1,4,bird,1,1,1
Mojave,buckhorn,1,4,cottontail,7,7,1
Mojave,buckhorn,1,4,ground squirrel,5,5,1
Mojave,buckhorn,1,4,none,0,41,0
Mojave,buckhorn,1,5,bird,4,4,1
Mojave,buckhorn,1,5,cottontail,3,3,1
Mojave,buckhorn,1,5,mouse,3,3,1
Mojave,buckhorn,1,5,none,0,2436,0
Mojave,buckhorn,1,6,cottontail,39,39,1
Mojave,buckhorn,1,6,ground squirrel,1,1,1
Mojave,buckhorn,1,6,mouse,5,5,1
Mojave,buckhorn,1,6,none,0,2167,0
Mojave,buckhorn,1,6,rat,2,2,1
Mojave,buckhorn,1,7,cottontail,4,4,1
Mojave,buckhorn,1,7,ground squirrel,1,1,1
Mojave,buckhorn,1,7,mouse,1,1,1
Mojave,buckhorn,1,7,none,0,48,0
Mojave,buckhorn,1,8,cottontail,6,6,1
Mojave,buckhorn,1,8,ground squirrel,2,2,1
Mojave,buckhorn,1,8,none,0,21,0
Mojave,buckhorn,2,1,bird,1,1,1
Mojave,buckhorn,2,1,cottontail,11,11,1
Mojave,buckhorn,2,1,lizard,1,1,1
Mojave,buckhorn,2,1,none,0,811,0
Mojave,buckhorn,2,1,unknown,1,1,1
Mojave,buckhorn,2,10,bird,2,2,1
Mojave,buckhorn,2,10,cottontail,16,16,1
Mojave,buckhorn,2,10,kit fox,2,2,1
Mojave,buckhorn,2,10,mouse,1,1,1
Mojave,buckhorn,2,10,none,0,190,0
Mojave,buckhorn,2,10,unknown,2,2,1
Mojave,buckhorn,2,15,cottontail,11,11,1
Mojave,buckhorn,2,15,none,0,104,0
Mojave,buckhorn,2,15,unknown,1,1,1
Mojave,buckhorn,2,16,cottontail,1,1,1
Mojave,buckhorn,2,16,none,0,173,0
Mojave,buckhorn,2,25,bird,3,3,1
Mojave,buckhorn,2,25,cottontail,31,31,1
Mojave,buckhorn,2,25,ground squirrel,5,5,1
Mojave,buckhorn,2,25,jackrabbit,3,3,1
Mojave,buckhorn,2,25,kangaroo rat,3,3,1
Mojave,buckhorn,2,25,none,1,83,0.012048192771084338
Mojave,buckhorn,2,25,unknown,6,6,1
Mojave,buckhorn,2,27,cottontail,6,6,1
Mojave,buckhorn,2,27,ground squirrel,6,6,1
Mojave,buckhorn,2,27,jackrabbit,2,2,1
Mojave,buckhorn,2,27,none,NA,335,NA
Mojave,buckhorn,2,27,unknown,6,6,1
Mojave,buckhorn,2,28,jackrabbit,4,4,1
Mojave,buckhorn,2,28,none,0,58,0
Mojave,buckhorn,2,32,cottontail,40,40,1
Mojave,buckhorn,2,32,none,0,678,0
Mojave,buckhorn,2,32,unknown,2,2,1
Mojave,buckhorn,3,1,bird,1,1,1
Mojave,buckhorn,3,1,bobcat,1,1,1
Mojave,buckhorn,3,1,cottontail,28,29,0.9655172413793104
Mojave,buckhorn,3,1,jackrabbit,0,4,0
Mojave,buckhorn,3,1,kit fox,0,1,0
Mojave,buckhorn,3,1,none,0,3772,0
Mojave,buckhorn,3,1,unknown,6,8,0.75
Mojave,buckhorn,3,15,butterfly,2,2,1
Mojave,buckhorn,3,15,cottontail,28,28,1
Mojave,buckhorn,3,15,ground squirrel,2,2,1
Mojave,buckhorn,3,15,jackrabbit,14,14,1
Mojave,buckhorn,3,15,kit fox,1,1,1
Mojave,buckhorn,3,15,none,NA,3675,NA
Mojave,buckhorn,3,15,unknown,3,3,1
Mojave,buckhorn,3,16,cottontail,6,6,1
Mojave,buckhorn,3,16,ground squirrel,12,12,1
Mojave,buckhorn,3,16,jackrabbit,2,2,1
Mojave,buckhorn,3,16,kangaroo rat,3,3,1
Mojave,buckhorn,3,16,none,0,2984,0
Mojave,buckhorn,3,25,jackrabbit,4,4,1
Mojave,buckhorn,3,25,none,0,3617,0
Mojave,buckhorn,3,25,unknown,19,19,1
Mojave,buckhorn,3,27,bird,4,4,1
Mojave,buckhorn,3,27,cottontail,29,29,1
Mojave,buckhorn,3,27,ground squirrel,3,3,1
